HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
6,0,4,1,3,0,2,4,3,1,1765.4468885898498,1441.80624847703,1
3,2,4,2,0,4,4,1,2,3,1540.15185936643,1639.02853241962,0
2,4,1,4,1,5,2,3,1,1,1330.12438867085,1358.1161832623,0
4,2,2,3,2,2,1,5,2,1,1508.47771853804,1323.4125898671,1
5,2,3,1,6,0,2,2,2,1,1532.0076227050502,1611.5214316609101,1
2,3,1,5,2,4,2,4,1,1,1326.2676399359,1330.3655507291,0
1,5,0,5,3,2,3,2,0,3,1344.4232539403,1627.5206961564902,0
3,3,4,2,6,0,1,5,1,2,1537.10310898551,1595.9589756161402,0
3,3,2,3,4,1,0,7,2,0,1570.0062913423199,1535.90704395594,1
4,1,1,5,1,5,2,4,1,1,1565.22571188541,1360.70501147188,1
2,5,2,2,3,2,2,3,2,1,1411.20742111631,1470.4188649292,0
2,2,4,3,6,0,5,1,1,3,1348.97937940265,1667.2666171088501,0
1,4,4,2,3,2,0,6,1,1,1616.47317375535,1380.72885657298,1
6,1,4,1,6,0,3,2,2,2,1765.23862142422,1604.53056741245,0
4,2,3,2,0,4,4,2,3,2,1627.7733624077403,1641.5797521695902,1
2,5,0,4,3,1,4,3,1,1,1347.71170086437,1624.6824645783,0
6,2,3,1,4,1,2,4,3,2,1541.58318737548,1465.83463659451,1
2,4,1,5,3,2,3,3,0,2,1325.34828935444,1472.3819470947199,0
6,1,3,2,3,2,3,4,1,3,1603.45401911744,1453.9920265331198,0
3,3,2,3,3,3,5,2,2,1,1505.0793740985198,1534.1728002527,0
3,5,2,2,1,3,1,6,2,1,1408.67324863602,1539.0718814959303,1
7,0,1,5,4,2,2,4,2,2,1599.45415523451,1507.0004981246802,1
3,2,4,3,4,1,0,8,1,0,1349.8670893614099,1530.85338073021,1
2,4,4,2,3,1,4,4,2,1,1616.7616967739002,1621.1499165947698,1
2,5,2,4,1,5,0,6,2,0,1359.6521937028801,1345.89152048181,1
4,2,0,6,4,2,3,3,2,2,1377.05027245909,1634.0729380194,1
7,1,4,1,3,2,3,5,2,2,1761.29282548474,1460.3128308490802,1
5,1,2,4,6,0,3,3,2,1,1463.40700230578,1617.09611203487,1
5,0,2,4,7,0,1,6,2,2,1442.52324146082,1625.89165033568,1
3,4,2,3,1,3,2,6,1,1,1502.61284949917,1532.63504619082,0
5,1,1,5,2,5,0,5,2,0,1562.80231200741,1346.0940599364098,1
3,3,4,3,3,3,3,3,1,2,1355.03745207575,1569.3918178640301,0
5,2,2,2,0,4,4,3,1,1,1473.8370454113299,1634.66651934516,1
7,0,5,1,2,4,2,5,3,1,1668.90586745965,1328.15469754321,1
6,2,3,2,6,0,4,3,0,2,1601.7509506358701,1614.5078398693302,0
3,3,3,3,4,2,3,4,2,2,1472.8951642957998,1503.94316907796,0
1,4,4,3,3,3,5,3,1,1,1628.6130253366598,1535.1427375670999,1
4,3,3,3,2,4,1,6,3,0,1577.3885358726002,1319.06293891351,1
2,5,2,5,3,5,3,2,1,2,1326.80396785028,1410.4909912782098,0
7,2,3,1,3,1,4,5,3,1,1547.44338850572,1617.245387905,1
2,6,2,4,4,2,1,6,1,2,1357.30775226879,1387.41098467303,0
6,1,2,4,7,1,4,2,2,1,1470.64685501689,1765.85218850923,1
5,1,2,4,2,4,5,2,2,3,1440.9663543822799,1621.92189134546,0
3,5,2,3,7,0,2,6,0,2,1496.5453229998002,1623.3724184302403,0
5,1,0,8,3,2,3,6,1,1,1543.7553689316298,1455.90892229522,1
5,2,3,3,2,5,0,6,2,0,1628.86300233392,1342.42338961052,1
4,3,4,3,5,2,2,3,2,1,1352.31371785345,1477.9383748820098,1
7,1,5,1,5,1,2,5,2,3,1670.1541946756101,1567.16500943656,0
2,3,2,6,3,5,3,3,2,2,1533.90836112029,1420.07068479772,1
