HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
2,0,4,5,2,0,3,4,2,2,1565.27261104426,1443.15011957108,1
3,0,5,5,6,0,0,1,2,3,1686.8476388692902,1660.54681791445,1
2,1,4,4,3,2,2,3,2,1,1407.6153025093697,1523.94122341962,1
2,1,4,5,2,1,1,2,1,2,1543.01670821271,1456.13479131227,0
3,1,4,4,1,3,4,2,1,2,1629.45751879518,1316.78310366858,1
4,1,4,2,1,1,2,3,2,0,1663.5857655851598,1475.3655970487198,1
1,3,4,5,3,2,2,3,1,0,1311.47068659402,1510.00771835484,0
3,3,2,3,2,2,4,5,0,1,1527.20028601764,1531.9580724348002,0
4,0,3,4,1,4,1,2,2,1,1489.97338545626,1525.54287383568,1
4,1,4,4,2,3,4,1,2,2,1651.8406576190198,1584.44511579305,1
4,0,6,5,2,4,2,3,3,1,1660.9578298116699,1423.0399751026503,1
5,1,2,3,1,4,1,2,2,1,1713.52784009239,1523.4808789768301,1
3,4,2,3,2,2,2,1,0,3,1556.44675163173,1303.50285521703,0
3,2,3,3,4,1,1,2,1,1,1526.9661041156699,1512.61820339564,0
3,4,2,2,3,1,2,3,1,2,1436.52083942303,1495.09050521022,1
3,1,5,4,6,0,0,1,3,1,1463.8388935997,1615.35424858167,1
2,2,5,5,5,2,1,1,1,1,1499.6997386323198,1350.6656336399199,1
5,0,3,4,5,1,4,2,3,2,1476.5287572844102,1662.9439366436402,0
5,1,4,4,3,2,5,5,3,2,1639.62629408983,1524.968788181,1
2,3,4,5,3,1,2,2,1,2,1575.3199577844,1378.2174681256101,1
5,0,6,5,5,1,2,3,3,2,1662.95208981327,1564.26165146993,0
2,4,2,3,5,2,2,1,0,2,1495.75790632264,1572.2121063955701,0
5,1,5,2,4,2,0,1,2,2,1687.1916771157,1476.8805918924697,0
4,4,2,2,1,4,4,5,2,0,1450.3553422625598,1330.81794000385,1
4,1,5,4,0,7,3,2,3,2,1539.91772821496,1340.4995699117098,1
5,1,3,3,3,5,2,3,2,1,1520.36464502935,1575.23166540867,1
6,1,2,3,5,1,3,4,3,2,1682.96481589949,1468.05698438766,0
3,5,2,3,1,4,0,1,0,0,1511.71292733793,1335.9396378691802,1
5,1,4,4,5,2,3,1,2,3,1472.39341220189,1558.27305840232,0
