date,season_id,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,home_team_home_wins,home_team_home_loses,home_team_road_wins,home_team_road_loses,away_team_home_wins,away_team_home_loses,away_team_road_wins,away_team_road_loses,home_team_elo,away_team_elo,home_team_raptor,away_team_raptor,home_team_hth_record,away_team_hth_record,home_team_wins,home_team_loses,home_team_points_per_game,home_team_points_against_per_game,away_team_wins,away_team_loses,away_team_points_per_game,away_team_points_against_per_game,is_home_winner
2016-10-25,2016,Cleveland,1610612739,117,New York,1610612752,88,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1695.5218278004502,1414.54584984421,nan,nan,2,1,0,0,0,0,0,0,0,0,1
2016-10-25,2016,Golden State,1610612744,100,San Antonio,1610612759,129,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1692.9792496460097,1695.2898741264098,nan,nan,1,2,0,0,0,0,0,0,0,0,0
2016-10-25,2016,Portland,1610612757,113,Utah,1610612762,104,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1584.62897243104,1530.32139497211,nan,nan,2,2,0,0,0,0,0,0,0,0,1
2016-10-26,2016,Boston,1610612738,122,Brooklyn,1610612751,117,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1540.3208000938698,1342.98509822487,nan,nan,3,1,0,0,0,0,0,0,0,0,1
2016-10-26,2016,Indiana,1610612754,130,Dallas,1610612742,121,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1533.1093747105701,1503.2933153260901,nan,nan,2,0,0,0,0,0,0,0,0,0,1
2016-10-26,2016,LA Lakers,1610612747,120,Houston,1610612745,114,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1332.6781345242,1527.8866720063502,nan,nan,1,2,0,0,0,0,0,0,0,0,1
2016-10-26,2016,Memphis,1610612763,102,Minnesota,1610612750,98,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1455.03979850281,1434.22948774644,nan,nan,2,1,0,0,0,0,0,0,0,0,1
2016-10-26,2016,Milwaukee,1610612749,96,Charlotte,1610612766,107,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1420.05097207182,1545.51978291688,nan,nan,1,2,0,0,0,0,0,0,0,0,0
2016-10-26,2016,New Orleans,1610612740,102,Denver,1610612743,107,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1406.92490764371,1446.21261623064,nan,nan,1,3,0,0,0,0,0,0,0,0,0
2016-10-26,2016,Orlando,1610612753,96,Miami,1610612748,108,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1454.07909965664,1574.21628677677,nan,nan,1,3,0,0,0,0,0,0,0,0,0
2016-10-26,2016,Philadelphia,1610612755,97,Oklahoma City,1610612760,103,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1278.43630278301,1684.6059988033498,nan,nan,0,2,0,0,0,0,0,0,0,0,0
2016-10-26,2016,Phoenix,1610612756,94,Sacramento,1610612758,113,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1393.4946035400303,1444.82539225778,nan,nan,1,3,0,0,0,0,0,0,0,0,0
2016-10-26,2016,Toronto,1610612761,109,Detroit,1610612765,91,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1568.89857982534,1497.02993298358,nan,nan,2,2,0,0,0,0,0,0,0,0,1
2016-10-27,2016,Atlanta,1610612737,114,Washington,1610612764,99,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1571.05353115909,1523.7228154137,nan,nan,3,1,0,0,0,0,0,0,0,0,1
2016-10-27,2016,Chicago,1610612741,105,Boston,1610612738,99,0.5,0.5,0.5,0.5,0.667,0.333,0.5,0.5,1466.56303711934,1542.05993340749,nan,nan,3,1,0,0,0,0,1,0,122,117,1
2016-10-27,2016,Portland,1610612757,106,LA Clippers,1610612746,114,0.667,0.333,0.5,0.5,0.5,0.5,0.5,0.5,1589.67967893172,1583.75714086289,nan,nan,1,3,1,0,113,104,0,0,0,0,0
2016-10-27,2016,Sacramento,1610612758,94,San Antonio,1610612759,102,0.5,0.5,0.667,0.333,0.5,0.5,0.667,0.333,1463.5629781323998,1724.7724342806303,nan,nan,1,3,1,0,113,94,1,0,129,100,0
2016-10-28,2016,Brooklyn,1610612751,103,Indiana,1610612754,94,0.5,0.5,0.333,0.667,0.667,0.333,0.5,0.5,1341.24596491125,1538.77786370125,nan,nan,2,1,0,1,117,122,1,0,130,121,1
2016-10-28,2016,Dallas,1610612742,98,Houston,1610612745,106,0.5,0.5,0.333,0.667,0.5,0.5,0.333,0.667,1497.6248263354098,1517.27842618522,nan,nan,1,3,0,1,121,130,0,1,114,120,0
2016-10-28,2016,Detroit,1610612765,108,Orlando,1610612753,82,0.5,0.5,0.333,0.667,0.333,0.667,0.5,0.5,1489.7717629393399,1443.2903631511401,nan,nan,3,1,0,1,91,109,0,1,96,108,1
2016-10-28,2016,Miami,1610612748,91,Charlotte,1610612766,97,0.5,0.5,0.667,0.333,0.5,0.5,0.667,0.333,1585.0050232822698,1555.52161348696,nan,nan,2,2,1,0,108,96,1,0,107,96,0
2016-10-28,2016,New Orleans,1610612740,114,Golden State,1610612744,122,0.333,0.667,0.5,0.5,0.333,0.667,0.5,0.5,1398.2487596320498,1663.4966894917902,nan,nan,1,3,0,1,102,107,0,1,100,129,0
2016-10-28,2016,Oklahoma City,1610612760,113,Phoenix,1610612756,110,0.5,0.5,0.667,0.333,0.333,0.667,0.5,0.5,1686.42571487427,1374.7570176654099,nan,nan,3,1,1,0,103,97,0,1,94,113,1
2016-10-28,2016,Toronto,1610612761,91,Cleveland,1610612739,94,0.667,0.333,0.5,0.5,0.667,0.333,0.5,0.5,1576.1567498695802,1698.8040889666102,nan,nan,1,3,1,0,109,91,1,0,117,88,0
2016-10-28,2016,Utah,1610612762,96,LA Lakers,1610612747,89,0.5,0.5,0.333,0.667,0.667,0.333,0.5,0.5,1525.27068847143,1343.2863803453301,nan,nan,2,1,0,1,104,113,1,0,120,114,1
2016-10-29,2016,Chicago,1610612741,118,Indiana,1610612754,101,0.667,0.333,0.5,0.5,0.667,0.333,0.333,0.667,1473.61311337043,1525.33202469975,nan,nan,2,2,1,0,105,99,1,1,112,112,1
2016-10-29,2016,Charlotte,1610612766,98,Boston,1610612738,104,0.5,0.5,0.75,0.25,0.667,0.333,0.333,0.667,1567.22177620515,1535.0098571564001,nan,nan,2,2,2,0,102,93,1,1,110,111,0
