date,season_id,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,home_team_home_wins,home_team_home_loses,home_team_road_wins,home_team_road_loses,away_team_home_wins,away_team_home_loses,away_team_road_wins,away_team_road_loses,home_team_elo,away_team_elo,home_team_raptor,away_team_raptor,home_team_hth_record,away_team_hth_record,home_team_wins,home_team_loses,home_team_points_per_game,home_team_points_against_per_game,away_team_wins,away_team_loses,away_team_points_per_game,away_team_points_against_per_game,is_home_winner
2019-10-22,2019,LA Clippers,1610612746,112,LA Lakers,1610612747,102,0,0,0,0,0,0,0,0,1516.6086145945599,1472.91031573486,1577.7963196512198,1625.62702616197,3,1,0,0,0,0,0,0,0,0,1
2019-10-22,2019,Toronto,1610612761,130,New Orleans,1610612740,122,0,0,0,0,0,0,0,0,1672.98650511735,1415.3205388237302,1570.9100270445401,1524.91969157268,2,0,0,0,0,0,0,0,0,0,1
2019-10-23,2019,Brooklyn,1610612751,126,Minnesota,1610612750,127,0,0,0,0,0,0,0,0,1494.76759174497,1465.41301618077,1503.49834192401,1575.42340830436,1,1,0,0,0,0,0,0,0,0,0
2019-10-23,2019,Charlotte,1610612766,126,Chicago,1610612741,125,0,0,0,0,0,0,0,0,1497.2430255375698,1350.43052844022,1353.40152738915,1463.72155179318,1,3,0,0,0,0,0,0,0,0,1
2019-10-23,2019,Dallas,1610612742,108,Washington,1610612764,100,0,0,0,0,0,0,0,0,1462.2035949178305,1434.80050301983,1565.8830817289902,1419.18098189807,2,0,0,0,0,0,0,0,0,0,1
2019-10-23,2019,Indiana,1610612754,110,Detroit,1610612765,119,0,0,0,0,0,0,0,0,1509.5434369267002,1475.76004260392,1504.5134760871695,1401.7685195422305,1,3,0,0,0,0,0,0,0,0,0
2019-10-23,2019,Miami,1610612748,120,Memphis,1610612763,101,0,0,0,0,0,0,0,0,1498.74553276499,1459.0077295091198,1506.59009295661,1466.19336442031,2,0,0,0,0,0,0,0,0,0,1
2019-10-23,2019,Orlando,1610612753,94,Cleveland,1610612739,85,0,0,0,0,0,0,0,0,1543.18427016017,1349.54720698356,1531.3907412395001,1353.20676231074,2,2,0,0,0,0,0,0,0,0,1
2019-10-23,2019,Philadelphia,1610612755,107,Boston,1610612738,93,0,0,0,0,0,0,0,0,1582.39677605164,1577.78355171342,1650.77418403123,1568.193391004,1,3,0,0,0,0,0,0,0,0,1
2019-10-23,2019,Phoenix,1610612756,124,Sacramento,1610612758,95,0,0,0,0,0,0,0,0,1338.13501857836,1468.1147559257502,1514.58758206404,1489.96116021642,3,1,0,0,0,0,0,0,0,0,1
2019-10-23,2019,Portland,1610612757,100,Denver,1610612743,108,0,0,0,0,0,0,0,0,1602.3327703923499,1585.76422226065,1531.08165757701,1651.8109110290698,1,3,0,0,0,0,0,0,0,0,0
2019-10-23,2019,San Antonio,1610612759,120,New York,1610612752,111,0,0,0,0,0,0,0,0,1553.99176299846,1319.2300820627001,1497.5303811192002,1297.55511522739,2,0,0,0,0,0,0,0,0,0,1
2019-10-23,2019,Utah,1610612762,100,Oklahoma City,1610612760,95,0,0,0,0,0,0,0,0,1595.62999997246,1551.5314556597198,1609.6341913597698,1563.3682961198301,1,3,0,0,0,0,0,0,0,0,1
2019-10-24,2019,Detroit,1610612765,100,Atlanta,1610612737,117,0,0,1,0,0,0,0,0,1490.6620038566598,1423.20227095543,1396.9947715818805,1397.2432395903602,3,1,1,0,119,110,0,0,0,0,0
2019-10-24,2019,Golden State,1610612744,122,LA Clippers,1610612746,141,0,0,0,0,1,0,0,0,1634.5409335767301,1522.2720396636498,1605.13939855384,1577.7963196512198,3,1,0,0,0,0,1,0,112,102,0
2019-10-24,2019,Houston,1610612745,111,Milwaukee,1610612749,117,0,0,0,0,0,0,0,0,1652.74583770298,1642.8462801829598,1717.9778577962,1643.3251920661498,2,0,0,0,0,0,0,0,0,0,0
2019-10-25,2019,Boston,1610612738,112,Toronto,1610612761,106,0,0,0,1,1,0,0,0,1569.38451361793,1674.5841448643698,1566.7171117130704,1570.62987744293,2,2,0,1,93,107,1,0,130,122,1
2019-10-25,2019,Brooklyn,1610612751,113,New York,1610612752,109,0,1,0,0,0,0,0,1,1488.65405858036,1317.27875122804,1503.0500119068201,1298.01198213223,0,4,0,1,126,127,0,1,111,120,1
2019-10-25,2019,Charlotte,1610612766,99,Minnesota,1610612750,121,1,0,0,0,0,0,1,0,1498.5563478692402,1471.5265493453799,1353.71994140517,1575.9156822975501,1,1,1,0,126,125,1,0,127,126,0
2019-10-25,2019,Denver,1610612743,108,Phoenix,1610612756,107,0,0,1,0,1,0,0,0,1599.01617324357,1361.8739706613198,1653.20820616088,1504.34377265619,2,1,1,0,108,100,1,0,124,95,1
2019-10-25,2019,LA Lakers,1610612747,95,Utah,1610612762,86,0,0,0,1,1,0,0,0,1467.24689066577,1599.4633222291598,1623.90156511607,1610.9618886601502,0,3,0,1,102,112,1,0,100,95,1
2019-10-25,2019,Memphis,1610612763,102,Chicago,1610612741,110,0,0,0,1,0,0,0,1,1450.2182439503501,1349.11720610855,1462.01419975438,1463.39946358027,0,2,0,1,101,120,0,1,125,126,0
2019-10-25,2019,New Orleans,1610612740,116,Dallas,1610612742,123,0,0,0,1,1,0,0,0,1413.7228990767098,1467.55023515923,1524.31614631496,1568.44146372154,3,1,0,1,122,130,1,0,108,100,0
2019-10-25,2019,Oklahoma City,1610612760,85,Washington,1610612764,97,0,0,0,1,0,0,0,1,1547.69813340302,1429.4538627784302,1563.75509791401,1411.87370848297,1,1,0,1,95,100,0,1,100,108,0
2019-10-25,2019,Sacramento,1610612758,112,Portland,1610612757,122,0,0,0,1,0,1,0,0,1444.37580384279,1589.08081940943,1489.86685057391,1529.69002686966,1,3,0,1,95,124,0,1,100,108,0
2019-10-26,2019,Atlanta,1610612737,103,Orlando,1610612753,99,0,0,1,0,1,0,0,0,1447.6899440511802,1545.6393447287805,1401.5557159175698,1531.1276283222,2,2,1,0,117,100,1,0,94,85,1
2019-10-26,2019,Chicago,1610612741,84,Toronto,1610612761,108,0,0,1,1,1,0,0,1,1365.5831988059801,1666.70291572254,1465.54953911121,1570.01827596184,0,4,1,1,117,114,1,1,118,117,0
2019-10-26,2019,Cleveland,1610612739,110,Indiana,1610612754,99,0,0,0,1,0,1,0,0,1347.09213241495,1494.64147567396,1353.49051205646,1501.45644964143,1,3,0,1,85,94,0,1,110,119,1
2019-10-26,2019,Detroit,1610612765,111,Philadelphia,1610612755,117,0,1,1,0,1,0,0,0,1466.17433076091,1590.7958141471302,1396.4972374559195,1536.77182780993,0,4,1,1,109,113,1,0,107,93,0
2019-10-26,2019,Houston,1610612745,126,New Orleans,1610612740,123,0,1,0,0,0,1,0,1,1641.67194955082,1403.8333492192098,1715.7256144232902,1522.6411671370804,3,1,0,1,111,117,0,2,119,126,1
2019-10-26,2019,Milwaukee,1610612749,126,Miami,1610612748,131,0,0,1,0,1,0,0,0,1653.92016833512,1507.5350183237601,1646.92311508914,1395.63650651711,0,3,1,0,117,111,1,0,120,101,0
2019-10-26,2019,New York,1610612752,95,Boston,1610612738,118,0,0,0,2,1,0,0,1,1315.47734679743,1577.26574275976,1299.3723125060499,1567.32789333803,1,3,0,2,110,116,1,1,102,106,0
2019-10-26,2019,Phoenix,1610612756,130,LA Clippers,1610612746,122,1,0,0,1,1,0,1,0,1361.07453688328,1551.68744431104,1464.53631957887,1583.51323766291,0,4,1,1,115,101,2,0,126,112,1
2019-10-26,2019,San Antonio,1610612759,124,Washington,1610612764,122,1,0,0,0,0,0,1,1,1555.9430938331195,1451.40073968499,1497.07868388432,1416.68608882733,1,1,1,0,120,111,1,1,98,96,1
2019-10-26,2019,Utah,1610612762,113,Sacramento,1610612758,81,1,0,0,1,0,1,0,1,1588.5481705384,1435.63872915042,1611.1439775469598,1487.62321651195,3,0,1,1,93,95,0,2,103,123,1
2019-10-27,2019,Dallas,1610612742,119,Portland,1610612757,121,1,0,1,0,0,1,1,0,1477.43978501673,1597.8178941018,1573.2696042162,1531.92279563764,1,2,2,0,115,108,1,1,111,110,0
2019-10-27,2019,LA Lakers,1610612747,120,Charlotte,1610612766,101,1,0,0,1,1,1,0,0,1478.1620423565305,1472.24056076448,1624.78160925301,1343.63264935344,1,1,1,1,98,99,1,1,112,123,1
